col0 col1 col2 col3
"2017-10-14 18:47:00.195000" 3292240.2 3524809.2 20.679014190469587
"2017-10-14 18:53:01.180000" 3297151.966666666 3533101.966666667 20.678882124028522
"2017-10-14 18:59:00.325000" 3302073.495147251 3530763.4951472506 20.678810537630746
"2017-10-14 19:04:59.099000" 3310285.7 3529230.7000000007 20.678693436348983
"2017-10-14 19:10:58.402000" 3317483.9 3533247.9000000004 20.678586512188524
"2017-10-14 19:16:57.472000" 3318387.1844430356 3541731.184443036 20.6785032804003
"2017-10-14 19:22:57.676000" 3321898.457045705 3539279.457045705 20.678383146217477
"2017-10-15 18:28:53.382000" 3241565.2333333334 2630480.2333333334 20.672880808748822
"2017-10-15 18:34:52.717000" 3256634.5999999996 2651499.5999999996 20.672763698185847
"2017-10-15 18:40:50.621000" 3262456.3333333335 2663964.3333333335 20.672638824573664
